I_real,I_seir,S_seir,E_seir,u_opt,beta_opt,R0_opt
60,46.4188652151245,478328.111846274,377.481871220457,0.658456807314444,0.10992466644263,0.769472665098408
47,45.4668324165345,478262.781329185,367.316014065416,0.658456807314444,0.10992466644263,0.769472665098408
5,44.5018908704496,478198.970010099,357.664130338383,0.658456807314444,0.10992466644263,0.769472665098408
82,43.535310374824,478136.672161007,348.429153363068,0.658456807314444,0.10992466644263,0.769472665098408
50,42.5745969734879,478075.872155333,339.543328363935,0.658456807314444,0.10992466644263,0.769472665098408
63,41.4280325838747,478016.547900811,330.95891721328,0.658456807314444,0.10992466644263,0.769472665098408
49,40.3394371014352,477958.673172847,322.641861734153,0.658456807314444,0.10992466644263,0.769472665098408
65,39.2978627828798,477902.219198644,314.567463590988,0.658456807314444,0.10992466644263,0.769472665098408
24,38.2956678512613,477847.155730776,306.717438740721,0.658456807314444,0.10992466644263,0.769472665098408
16,37.3274681233851,477793.451772926,299.077908842712,0.658456807314444,0.10992466644263,0.769472665098408
36,36.389422320324,477741.076068645,291.638031355105,0.658456807314444,0.10992466644263,0.769472665098408
32,35.4787448204025,477689.99742872,284.389065009061,0.658456807314444,0.10992466644263,0.769472665098408
55,34.5933734430927,477640.184948648,277.323732078824,0.615811418211026,0.123649958800675,0.865549711604725
48,33.7317429085638,477585.542808884,276.501125427753,0.615811418211026,0.123649958800675,0.865549711604725
37,32.8926303319971,477532.257618609,274.486090616482,0.615811418211026,0.123649958800675,0.865549711604725
42,32.075049822344,477480.155129001,271.691362101707,0.615811418211026,0.123649958800675,0.865549711604725
16,31.2781805554418,477429.113749267,268.394469415358,0.615811418211026,0.123649958800675,0.865549711604725
45,31.1854022015467,477379.047402259,264.78192254008,0.615811418211026,0.123649958800675,0.865549711604725
64,30.9581348768933,477329.893982644,260.978957647013,0.615811418211026,0.123649958800675,0.865549711604725
21,30.6429291697102,477281.607586318,257.069562443271,0.615811418211026,0.123649958800675,0.865549711604725
41,30.2710864718547,477234.153278439,253.109957833536,0.615811418211026,0.123649958800675,0.865549711604725
39,29.8636424619861,477187.503570379,249.137674327064,0.615811418211026,0.123649958800675,0.865549711604725
66,29.4347220025659,477141.636047104,245.177662736952,0.615811418211026,0.123649958800675,0.865549711604725
24,28.993797714808,477096.531769026,241.246408267157,0.615811418211026,0.123649958800675,0.865549711604725
66,28.5472105187427,477052.174195249,237.35470039107,0.564349898945082,0.140212696577586,0.981488876043102
23,28.0991933230938,477002.704851762,239.353103799539,0.564349898945082,0.140212696577586,0.981488876043102
31,27.6525602254189,476954.050451723,240.136883078967,0.564349898945082,0.140212696577586,0.981488876043102
61,27.2091705227276,476906.042398434,240.117559751869,0.564349898945082,0.140212696577586,0.981488876043102
39,26.7702411144696,476858.568224107,239.568222129128,0.564349898945082,0.140212696577586,0.981488876043102
10,26.9956326529583,476811.552708294,238.670093515993,0.564349898945082,0.140212696577586,0.981488876043102
13,27.0840318304604,476764.945349051,237.543434055345,0.564349898945082,0.140212696577586,0.981488876043102
42,27.0818524334453,476718.712049249,236.268047046263,0.564349898945082,0.140212696577586,0.981488876043102
66,27.0198949470766,476672.82959981,234.896887076613,0.564349898945082,0.140212696577586,0.981488876043102
34,26.918598787844,476627.282018855,233.465090616019,0.564349898945082,0.140212696577586,0.981488876043102
22,26.7915275928529,476582.058122384,231.995968963703,0.564349898945082,0.140212696577586,0.981488876043102
72,26.6476820414855,476537.149912166,230.504985389184,0.564349898945082,0.140212696577586,0.981488876043102
41,26.4930346595986,476492.551505931,229.002394546016,0.543925891471773,0.146786102978317,1.02750272084822
62,26.3315483422271,476446.181893621,229.571527947094,0.543925891471773,0.146786102978317,1.02750272084822
35,26.1658522730354,476400.128416677,229.710699301282,0.543925891471773,0.146786102978317,1.02750272084822
48,25.9976904893344,476354.330785401,229.56619071697,0.543925891471773,0.146786102978317,1.02750272084822
