t,I_real,I_model,u_opt,R0_t,eta_acum
81,9,73.2881568571205,0.321354489338172,1.52894035345859,-2.03249692110297
82,32,76.2062570671464,0.321354489338172,1.52894035345859,-1.38354281657737
83,25,79.1976029398358,0.321354489338172,1.52894035345859,-1.67935614734589
84,32,82.2786028750187,0.321354489338172,1.52894035345859,-1.54256283489348
85,28,85.4609613933417,0.288249965354771,1.60352250541432,-1.74658670495491
86,38,88.7535217399799,0.288249965354771,1.60352250541432,-1.5293077032924
87,33,92.1634057784625,0.288249965354771,1.60352250541432,-1.76736420515928
88,49,95.6967194321796,0.288249965354771,1.60352250541432,-1.38304291763154
89,50,99.3589894905885,0.288249965354771,1.60352250541432,-1.44951794962671
90,63,104.309977988879,0.288249965354771,1.60352250541432,-1.20296079635265
91,110,109.212615254808,0.288249965354771,1.60352250541432,0.0227380533314297
92,88,114.163241460226,0.288249965354771,1.60352250541432,-0.749303395386281
93,57,119.223968617031,0.288249965354771,1.60352250541432,-1.76747517839655
94,115,124.436006631513,0.288249965354771,1.60352250541432,-0.265853532557076
95,105,129.827838818609,0.288249965354771,1.60352250541432,-0.693873563681679
96,142,135.420238091264,0.288249965354771,1.60352250541432,0.18241771610893
97,203,141.229345011597,0.315212151733758,1.54277860580154,1.698326507464
98,184,147.268556681917,0.315212151733758,1.54277860580154,1.00121971748804
99,151,153.549685852807,0.315212151733758,1.54277860580154,-0.0689068749728292
100,133,160.083672003027,0.315212151733758,1.54277860580154,-0.725770687704706
101,195,166.88101719654,0.315212151733758,1.54277860580154,0.747202765110759
102,154,172.419849049359,0.315212151733758,1.54277860580154,-0.485402923486654
103,305,178.485909919792,0.315212151733758,1.54277860580154,3.30645518210227
104,209,184.972346692475,0.315212151733758,1.54277860580154,0.62283355085918
105,204,191.815993031805,0.315212151733758,1.54277860580154,0.313268461528709
106,388,198.980725848617,0.315212151733758,1.54277860580154,4.82088805673188
107,184,206.44717829556,0.315212151733758,1.54277860580154,-0.567943590597185
108,160,214.206379689689,0.315212151733758,1.54277860580154,-1.36064228773346
109,379,222.255821322199,0.374819154118132,1.4084882438049,3.90067762702153
110,270,230.597020759477,0.374819154118132,1.4084882438049,0.971506129183495
111,305,239.234011621508,0.374819154118132,1.4084882438049,1.60665553499445
112,161,248.172404755353,0.374819154118132,1.4084882438049,-2.11028836107447
113,206,257.418801979165,0.374819154118132,1.4084882438049,-1.23356444250308
114,162,261.666763277618,0.374819154118132,1.4084882438049,-2.36974967604239
115,106,267.111263252914,0.374819154118132,1.4084882438049,-3.79686140574134
116,217,273.372368624409,0.374819154118132,1.4084882438049,-1.31687858855184
117,268,280.212283782335,0.374819154118132,1.4084882438049,-0.282807061489556
118,243,287.48242045133,0.374819154118132,1.4084882438049,-1.02124137603648
119,320,295.090165047711,0.374819154118132,1.4084882438049,0.567008581210376
120,758,302.978010604674,0.374819154118132,1.4084882438049,10.2697901855594
121,358,311.110450241932,0.703628197082012,0.667704717690804,1.04556658854138
122,173,319.465742958486,0.703628197082012,0.667704717690804,-3.21551529297379
123,605,328.030738216073,0.703628197082012,0.667704717690804,5.98809423273382
124,326,336.797620921633,0.703628197082012,0.667704717690804,-0.229947227219443
125,317,345.761862165176,0.703628197082012,0.667704717690804,-0.60347276551268
126,119,313.733630720456,0.703628197082012,0.667704717690804,-4.02639962487444
127,378,289.099798480098,0.703628197082012,0.667704717690804,1.81178155819868
128,485,269.650222754461,0.703628197082012,0.667704717690804,4.3267719357419
129,248,253.85773562727,0.703628197082012,0.667704717690804,-0.116052002591367
130,354,240.666354252136,0.703628197082012,0.667704717690804,2.21446810368861
131,210,229.345177030281,0.703628197082012,0.667704717690804,-0.372866249206113
132,179,219.387605265605,0.703628197082012,0.667704717690804,-0.768029940519246
133,152,210.441832038706,0.777667487550682,0.50089943104182,-1.09592218763579
134,55,202.262896988501,0.777667487550682,0.50089943104182,-2.72183386848756
135,97,194.679614664215,0.777667487550682,0.50089943104182,-1.77981278148828
136,69,187.571760741585,0.777667487550682,0.50089943104182,-2.13030099475264
137,246,180.85433296654,0.777667487550682,0.50089943104182,1.1543017175846
138,278,167.026277839457,0.777667487550682,0.50089943104182,1.93959266126578
139,109,155.222975968834,0.777667487550682,0.50089943104182,-0.797049136378834
140,143,144.956919434281,0.777667487550682,0.50089943104182,-0.0332977627296118
141,110,135.877620590901,0.777667487550682,0.50089943104182,-0.43456767048479
142,103,127.731873582696,0.777667487550682,0.50089943104182,-0.409972882390293
143,78,120.335607569774,0.777667487550682,0.50089943104182,-0.692853042862427
144,60,113.553946545123,0.777667487550682,0.50089943104182,-0.865434857031175
145,114,107.287079378342,0.76432641096056,0.530955933349375,0.107146210745832
146,137,101.460243732349,0.76432641096056,0.530955933349375,0.560419974138908
147,84,96.0166230211957,0.76432641096056,0.530955933349375,-0.187231339783202
148,87,90.9123063274467,0.76432641096056,0.530955933349375,-0.0602403526106632
149,159,86.1127094689829,0.76432641096056,0.530955933349375,1.10923907789551
150,90,82.352087265043,0.76432641096056,0.530955933349375,0.115051886755671
151,45,78.6539337435309,0.76432641096056,0.530955933349375,-0.500520124958737
152,82,75.0502919819998,0.76432641096056,0.530955933349375,0.1021982074618
153,70,71.5613374569687,0.76432641096056,0.530955933349375,-0.0227048887165127
154,65,68.1989925711533,0.76432641096056,0.530955933349375,-0.0460082129994638
155,31,64.9694696696076,0.76432641096056,0.530955933349375,-0.483240046409276
156,36,61.8750589369516,0.76432641096056,0.530955933349375,-0.364132013330616
157,14,58.9153841744193,0.649340672158758,0.790010673068899,-0.62585543038792
158,38,56.0882836382378,0.649340672158758,0.790010673068899,-0.249783904136057
159,90,53.3904267337015,0.649340672158758,0.790010673068899,0.501054377615545
160,40,50.8177446639202,0.649340672158758,0.790010673068899,-0.146752100957334
161,29,48.3657300858574,0.649340672158758,0.790010673068899,-0.260418949931237
162,56,49.6094149187895,0.649340672158758,0.790010673068899,0.0851929295777096
163,29,50.0738106115386,0.649340672158758,0.790010673068899,-0.278524094607344
164,53,50.0170521761474,0.649340672158758,0.790010673068899,0.0390889594790484
165,114,49.6143902085013,0.649340672158758,0.790010673068899,0.83659924166768
166,45,48.9847537513555,0.649340672158758,0.790010673068899,-0.0513430021389196
167,66,48.2087996270631,0.649340672158758,0.790010673068899,0.227335124573518
168,47,47.3411775749105,0.649340672158758,0.790010673068899,-0.00432367646127622
169,60,46.4188652151245,0.658456807314444,0.769472665098408,0.170696540039203
170,47,45.4668324165345,0.658456807314444,0.769472665098408,0.0191116812894461
171,5,44.5018908704496,0.658456807314444,0.769472665098408,-0.488401532893506
172,82,43.535310374824,0.658456807314444,0.769472665098408,0.471737084370975
173,50,42.5745969734879,0.658456807314444,0.769472665098408,0.0903368185546866
174,63,41.4280325838747,0.658456807314444,0.769472665098408,0.260357061852414
175,49,40.3394371014352,0.658456807314444,0.769472665098408,0.103702207376834
176,65,39.2978627828798,0.658456807314444,0.769472665098408,0.305351734365075
177,24,38.2956678512613,0.658456807314444,0.769472665098408,-0.16852000080508
178,16,37.3274681233851,0.658456807314444,0.769472665098408,-0.249475741211077
179,36,36.389422320324,0.658456807314444,0.769472665098408,-0.00452040807352795
180,32,35.4787448204025,0.658456807314444,0.769472665098408,-0.040074907515478
181,55,34.5933734430927,0.615811418211026,0.865549711604725,0.233370095845724
182,48,33.7317429085638,0.615811418211026,0.865549711604725,0.162030641036409
183,37,32.8926303319971,0.615811418211026,0.865549711604725,0.0463194604298251
184,42,32.075049822344,0.615811418211026,0.865549711604725,0.111153324547445
185,16,31.2781805554418,0.615811418211026,0.865549711604725,-0.169934218469894
186,45,31.1854022015467,0.615811418211026,0.865549711604725,0.152609967572972
187,64,30.9581348768933,0.615811418211026,0.865549711604725,0.362547372916393
188,21,30.6429291697102,0.615811418211026,0.865549711604725,-0.10509560807103
189,41,30.2710864718547,0.615811418211026,0.865549711604725,0.116151890005247
190,39,29.8636424619861,0.615811418211026,0.865549711604725,0.0982557265306701
191,66,29.4347220025659,0.615811418211026,0.865549711604725,0.390649219769081
192,24,28.993797714808,0.615811418211026,0.865549711604725,-0.053003082006678
193,66,28.5472105187427,0.564349898945082,0.981488876043102,0.395041614902698
194,23,28.0991933230938,0.564349898945082,0.981488876043102,-0.0534666084012579
195,31,27.6525602254189,0.564349898945082,0.981488876043102,0.0348924622981086
196,61,27.2091705227276,0.564349898945082,0.981488876043102,0.350163129159453
197,39,26.7702411144696,0.564349898945082,0.981488876043102,0.125996077953456
198,10,26.9956326529583,0.564349898945082,0.981488876043102,-0.174083944380872
199,13,27.0840318304604,0.564349898945082,0.981488876043102,-0.143431699364071
200,42,27.0818524334453,0.564349898945082,0.981488876043102,0.151058147287165
201,66,27.0198949470766,0.564349898945082,0.981488876043102,0.392461944805089
202,34,26.918598787844,0.564349898945082,0.981488876043102,0.0708945843019425
203,22,26.7915275928529,0.564349898945082,0.981488876043102,-0.0477002910913262
204,72,26.6476820414855,0.564349898945082,0.981488876043102,0.44896595464343
205,41,26.4930346595986,0.543925891471773,1.02750272084822,0.142828408572212
206,62,26.3315483422271,0.543925891471773,1.02750272084822,0.349303342585426
207,35,26.1658522730354,0.543925891471773,1.02750272084822,0.0860549635072708
208,48,25.9976904893344,0.543925891471773,1.02750272084822,0.213198680635027
209,17,25.8282195704871,0.543925891471773,1.02750272084822,-0.0850954637053156
210,172,25.8924097396645,0.543925891471773,1.02750272084822,1.40099001227162
211,36,25.9081062929735,0.543925891471773,1.02750272084822,0.0962666193795137
212,38,25.8918077758648,0.543925891471773,1.02750272084822,0.114903919675497
213,12,25.8544041392108,0.543925891471773,1.02750272084822,-0.130799909608317
214,32,25.8030836388081,0.543925891471773,1.02750272084822,0.0582063992712544
215,36,25.7425913619635,0.543925891471773,1.02750272084822,0.0958560658416991
216,35,25.6760598493007,0.543925891471773,1.02750272084822,0.0866920923581476
217,58,25.605557308948,0.523331867294318,1.07389960126714,0.299709883639169
218,52,25.5324494452187,0.523331867294318,1.07389960126714,0.243694993151898
219,26,25.45763827346,0.523331867294318,1.07389960126714,0.00496974695320844
220,24,25.3817197450803,0.523331867294318,1.07389960126714,-0.0126004941977889
221,19,25.3050877861379,0.523331867294318,1.07389960126714,-0.0572256873521155
222,39,25.4530524265189,0.523331867294318,1.07389960126714,0.122372376325374
223,22,25.5549962757862,0.523331867294318,1.07389960126714,-0.0319619201872399
224,55,25.6266597980979,0.523331867294318,1.07389960126714,0.262850272486925
225,94,25.6783758520765,0.523331867294318,1.07389960126714,0.608533073018124
226,17,25.716927501039,0.523331867294318,1.07389960126714,-0.0772804750794733
227,5,25.7467675325913,0.523331867294318,1.07389960126714,-0.183082352139727
228,36,25.7708189974547,0.523331867294318,1.07389960126714,0.0898536786664354
229,25,25.7910007205633,0.45363601535025,1.23091942801297,-0.00691850666354339
230,37,25.8085722756129,0.45363601535025,1.23091942801297,0.0974992379935459
231,59,25.8243604483239,0.45363601535025,1.23091942801297,0.287887001876618
232,54,25.8389079032165,0.45363601535025,1.23091942801297,0.243414251426227
233,13,25.8525707803918,0.45363601535025,1.23091942801297,-0.110659052190472
234,4,26.6234900941759,0.45363601535025,1.23091942801297,-0.194027641116083
235,20,27.242554074566,0.45363601535025,1.23091942801297,-0.061874168879334
236,17,27.7651000277856,0.45363601535025,1.23091942801297,-0.0916127365851326
237,22,28.2268188404686,0.45363601535025,1.23091942801297,-0.0527874453468395
238,31,28.6507351585785,0.45363601535025,1.23091942801297,0.0198394415572224
239,31,29.0517074519293,0.45363601535025,1.23091942801297,0.0163904568080247
240,34,29.4393292272881,0.45363601535025,1.23091942801297,0.0382218197340418
241,14,29.8197994867426,0.415348883546647,1.31717762896332,-0.132100681250347
242,26,30.1971286607317,0.415348883546647,1.31717762896332,-0.034926310133106
243,25,30.5739161153431,0.415348883546647,1.31717762896332,-0.046223452570621
244,11,30.95185144501,0.415348883546647,1.31717762896332,-0.164889057908871
245,34,31.3320376814279,0.415348883546647,1.31717762896332,0.021973544840213
246,14,32.1811764925441,0.415348883546647,1.31717762896332,-0.149231084968755
247,25,32.9461264336501,0.415348883546647,1.31717762896332,-0.0650002030504941
248,35,33.6612105725318,0.415348883546647,1.31717762896332,0.0109143646197438
249,32,34.3484120277082,0.415348883546647,1.31717762896332,-0.0190806164536241
250,37,35.0218338191956,0.415348883546647,1.31717762896332,0.0160183487878381
251,29,35.6905470375331,0.415348883546647,1.31717762896332,-0.0539956012560787
252,42,36.3604097888033,0.415348883546647,1.31717762896332,0.0453618712083311
253,45,37.0352288597905,0.4084077678973,1.33281547176575,0.0638528527493209
254,28,37.7175016246275,0.4084077678973,1.33281547176575,-0.0776500956730161
255,18,38.4088898760614,0.4084077678973,1.33281547176575,-0.162551787847842
256,41,39.1105224493598,0.4084077678973,1.33281547176575,0.0150004295239204
257,27,39.823188501912,0.4084077678973,1.33281547176575,-0.101473383348451
258,51,40.6506177432024,0.4084077678973,1.33281547176575,0.0816336536616289
259,65,41.47130299264,0.4084077678973,1.33281547176575,0.184993250201622
260,28,42.293049033179,0.4084077678973,1.33281547176575,-0.112018709805084
261,31,43.1209205639455,0.4084077678973,1.33281547176575,-0.0946920272264042
262,17,43.9582359863697,0.4084077678973,1.33281547176575,-0.209935472849474
263,41,44.8072010949138,0.4084077678973,1.33281547176575,-0.029554329727208
264,54,45.6693131563724,0.4084077678973,1.33281547176575,0.0644646178994406
265,41,46.5456185763185,0.403388176383518,1.34412425654769,-0.0427788052225334
266,46,47.4368772024298,0.403388176383518,1.34412425654769,-0.0110496621842903
267,55,48.3436670913283,0.403388176383518,1.34412425654769,0.0510292577787658
268,46,49.2664513085458,0.403388176383518,1.34412425654769,-0.0249643021121829
269,27,50.205620515758,0.403388176383518,1.34412425654769,-0.176807050191327
270,27,51.2548285873275,0.403388176383518,1.34412425654769,-0.184234880324822
271,51,52.3041698119362,0.403388176383518,1.34412425654769,-0.00987595543724661
272,65,53.3606956971415,0.403388176383518,1.34412425654769,0.0878713674990536
273,28,54.4290134416122,0.403388176383518,1.34412425654769,-0.19892104230704
274,25,55.5121742019539,0.403388176383518,1.34412425654769,-0.228958275267027
275,26,56.6122389223176,0.403388176383518,1.34412425654769,-0.229015922754517
276,10,57.7306387688913,0.403388176383518,1.34412425654769,-0.356007527227765
277,43,58.8684047220879,0.410964552008912,1.3270552179338,-0.117998979126336
278,65,60.0263138157866,0.410964552008912,1.3270552179338,0.036872127208393
279,43,61.2049822745398,0.410964552008912,1.3270552179338,-0.134551621930737
280,40,62.4049248191247,0.410964552008912,1.3270552179338,-0.165091623307724
281,67,63.6265924162801,0.410964552008912,1.3270552179338,0.0247820492901164
282,63,64.6930023593987,0.410964552008912,1.3270552179338,-0.0123998597756071
283,51,65.8140159887512,0.410964552008912,1.3270552179338,-0.108174965525472
284,112,66.9772830417994,0.410964552008912,1.3270552179338,0.327781405349866
285,86,68.1750166666759,0.410964552008912,1.3270552179338,0.129385107362777
286,146,69.4023438825733,0.410964552008912,1.3270552179338,0.554341059898628
287,63,70.6562524261771,0.410964552008912,1.3270552179338,-0.0552443746750801
288,105,71.9349183252859,0.410964552008912,1.3270552179338,0.23787866255418
289,69,73.2372765304333,0.446301329952368,1.24744395563242,-0.0303903376088999
290,55,74.5627467192097,0.446301329952368,1.24744395563242,-0.139859065109329
291,78,75.9110581675961,0.446301329952368,1.24744395563242,0.0148868779840563
292,62,77.2821378696445,0.446301329952368,1.24744395563242,-0.108563111399382
293,55,78.6760390376905,0.446301329952368,1.24744395563242,-0.167661160379682
294,86,79.0639272890474,0.446301329952368,1.24744395563242,0.048962845305155
295,67,79.662680093591,0.446301329952368,1.24744395563242,-0.0891071484706586
296,101,80.4007559226298,0.446301329952368,1.24744395563242,0.144502838708158
297,29,81.23206258389,0.446301329952368,1.24744395563242,-0.365262184748362
298,100,82.1269061762637,0.446301329952368,1.24744395563242,0.124598823978557
299,70,83.0661591101062,0.446301329952368,1.24744395563242,-0.0908056823446998
300,49,84.0375022033653,0.446301329952368,1.24744395563242,-0.242746667014374
301,88,85.033003150667,0.444998933089453,1.25037816368161,0.0204926622373465
302,78,86.0475560687824,0.444998933089453,1.25037816368161,-0.0554131105470761
303,57,87.0778758829563,0.444998933089453,1.25037816368161,-0.206474764802906
304,26,88.121850240503,0.444998933089453,1.25037816368161,-0.425147423163289
305,59,89.1781218149718,0.444998933089453,1.25037816368161,-0.205904935067616
306,78,90.2902830234705,0.444998933089453,1.25037816368161,-0.0836026061381931
307,91,91.4049295467574,0.444998933089453,1.25037816368161,-0.0027461532021306
308,88,92.5248465180437,0.444998933089453,1.25037816368161,-0.0305942960837736
309,71,93.651831487355,0.444998933089453,1.25037816368161,-0.15269864551718
310,58,94.7870445527919,0.444998933089453,1.25037816368161,-0.247244089797114
